bur:akiYcana,24:akiYcana:n:
bur:akIm,2019:akIm:n:
bur:akupya,28:akupya:n:
bur:akurma,27:akurma:n:
bur:aNkolasAra,133:aNkolasAra:n:
bur:aNkolikA,132:aNkolikA:n:
bur:ajantrI,206:ajantrI:n:
bur:ajanya,188:ajanya:n:
bur:aYjanikA,232:aYjanikA:n:
bur:aYjanI,229:aYjanI:n:
bur:atardaDAmi,770:atardaDAmi:n:
bur:atala,273:atala:n:
bur:atfpta,335:atfpta:n:
bur:atova,333:atova:n:
bur:anarTa,516:anarTa:n:
bur:anarDya,515:anarDya:n:
bur:anarza,560:anarza:n:
bur:anarha,517:anarha:n:
bur:anuvarRayAmi,707:anuvarRayAmi:n:
bur:anuvartAmi,706:anuvartAmi:n:
bur:anuzWAna,728:anuzWAna:n:
bur:anuzWuB,727:anuzWuB:n:
bur:anusaMhita,735:anusaMhita:n:
bur:anusandaDAmi,730:anusandaDAmi:n:
bur:anusayAna,736:anusayAna:n:
bur:anusara,734:anusara:n:
bur:antaHsveda,796:antaHsveda:n:
bur:antar,759:antar:n:
bur:antar,759:antar:n:
bur:antara,758:antara:n:
bur:apajahAmi,863:apajahAmi:n:
bur:apaYc,862:apaYc:n:
bur:apuMs,980:apuMs:n:
bur:apucCA,977:apucCA:n:
bur:apramARaSuBa,1013:apramARaSuBa:n:
bur:apramARABa,1012:apramARABa:n:
bur:abBakza,1036:abBakza:n:
bur:abBri,1035:abBri:n:
bur:aBiruci,1146:aBiruci:n:
bur:aBiruta,1144:aBiruta:n:
bur:aBiSaMsAmi,1173:aBiSaMsAmi:n:
bur:aBiSaNke,1170:aBiSaNke:n:
bur:aBisaMhanmi,1200:aBisaMhanmi:n:
bur:aBisaNkroSAmi,1189:aBisaNkroSAmi:n:
bur:aBisaNkroSAmi,1189:aBisaNkroSAmi:n:
bur:aBisaNkzipAmi,1188:aBisaNkzipAmi:n:
bur:aByarcaRa,1236:aByarcaRa:n:
bur:aByarRa,1235:aByarRa:n:
bur:aByarTanA,1238:aByarTanA:n:
bur:aByardAmi,1237:aByardAmi:n:
bur:amaMsa,1297:amaMsa:n:
bur:amaNGam,1284:amaNGam:n:
bur:araTin,1378:araTin:n:
bur:aradu,1372:aradu:n:
bur:arDoruka,1449:arDoruka:n:
bur:arDya,1417:arDya:n:
bur:alakzmI,1478:alakzmI:n:
bur:alakzya,1477:alakzya:n:
bur:alipazWa,1510:alipazWa:n:
bur:alimaka,1501:alimaka:n:
bur:avaqIna,1557:avaqIna:n:
bur:avaRI,1553:avaRI:n:
bur:avataMsa,1561:avataMsa:n:
bur:avatanomi,1558:avatanomi:n:
bur:avaDUnomi,1580:avaDUnomi:n:
bur:avaDUpita,1579:avaDUpita:n:
bur:avarIDa,1623:avarIDa:n:
bur:avarujAmi,1620:avarujAmi:n:
bur:aSaMsAmi,2490:aSaMsAmi:n:
bur:aSakta,1763:aSakta:n:
bur:aSunya,1785:aSunya:n:
bur:aSuBa,1784:aSuBa:n:
bur:asaMhita,1893:asaMhita:n:
bur:asakft,1857:asakft:n:
bur:asvaDyAya,1959:asvaDyAya:n:
bur:asvapna,1957:asvapna:n:
bur:ahiMsA,1976:ahiMsA:n:
bur:ahita,1975:ahita:n:
bur:AMhizi,2588:AMhizi:n:
bur:Aka,2006:Aka:n:
bur:Akuta,2021:Akuta:n:
bur:Akula,2020:Akula:n:
bur:ARavIna,2115:ARavIna:n:
bur:ARAYcakAra,2114:ARAYcakAra:n:
bur:AdyudAtta,2167:AdyudAtta:n:
bur:AdyUna,2164:AdyUna:n:
bur:AnaMhe,2215:AnaMhe:n:
bur:Anaka,2183:Anaka:n:
bur:ApiMSAmi,2255:ApiMSAmi:n:
bur:ApivAmi,2254:ApivAmi:n:
bur:Ard,2397:Ard:n:
bur:ArdaRa,2395:ArdaRa:n:
bur:Ala,2405:Ala:n:
bur:AlakzayAmi,2404:AlakzayAmi:n:
bur:AlInaka,2431:AlInaka:n:
bur:AlIye,2430:AlIye:n:
bur:AviDa,2464:AviDa:n:
bur:AviDyAmi,2463:AviDyAmi:n:
bur:AvfSce,2476:AvfSce:n:
bur:Avfzwa,2475:Avfzwa:n:
bur:AsevAmi,2551:AsevAmi:n:
bur:AsodAmi,2545:AsodAmi:n:
bur:iLaspada,2683:iLaspada:n:
bur:iMv,2648:iMv:n:
bur:iMv,2648:iMv:n:
bur:ikkawa,2593:ikkawa:n:
bur:ig,2598:ig:n:
bur:iNKa,2597:iNKa:n:
bur:itama,2617:itama:n:
bur:itara,2616:itara:n:
bur:IL,2736:IL:n:
bur:Ikz,2709:Ikz:n:
bur:ucCUNKala,2787:ucCUNKala:n:
